STATES,AREA(KM2),POPULATION
ABIA,6320,2845380
ADAMAWA,36917,3178950
AKWA IBOM,7081,3178950
ANAMBRA ,4844,4177828
BAUCHI,45837,4653066
BAYELSA,10773,1704515
BENUE,34059,4253641
BORNO,70898,4171104
CROSSS RIVER ,20156,2892988
DELTA,17698,4112445
Ebonyi,5670,2176947
Edo,17802,3233366
Ekiti,6353,2398957
Enugu,7161,3267837
FCT,7315,1405201
Gombe,18768,2365040
Imo,5530,3927563
Jigawa,23154,4361002
Kaduna,46053,6113503
Kano,20131,9401288
Katsina ,24192,5801584
Kebb,36800,3256541
Kogi,29833,3314043
Kwara,36825,2365353
Lagos,3345,9113605
Nasarawa,27117,1869377
Niger,76363,3954772
Ogun State,16762,3751140
Ondo,15500,3460877
Osun,9251,3416959
Oyo,28454,5580894
Plateau,30913,3206531
Rivers,11077,5198605
Sokoto,25973,3702676
Taraba,54473,2294800
Yobe,45502,2321339
Zamfara,39762,3278873
